Category,Record Number,Commercial Subtype,Residential Subtype,ADU/TED on Permit?,Work Description,Business Name,Project Cost,Job Cost Valuation,Current Valuation - Commercial,Current Valuation - Residential,Address,ADU or TED on Address?,Total Construction Valuation,Current Market Valuation,Property Type,Project Type,Units,Data Dump,Date,Month,Month Number,Calendar Year,Fiscal Year
01 - Remodel Commercial,2023-MSS-COM-00332,BAARC -  Add/Alter/Remodel Commercial,,,"2021 CODES/MESSICK CPA/remodel of inside into offices and storage, exterior siding, windows, roofing, and patio/VB/B",OWNER,249609.12,0.0,,,1739 SOUTH AVE W,,249609.12,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
03 - New Single Family Residential,2023-MSS-RES-00728,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3/U,OWNER,,194080.76,,692372.49,7044 GUINEVERE DR,SFR-DET,194080.76,498291.73,Single Dwelling Detached,New Construction,1,07 Data Dump,2024-07-01,July,07,2024,2025
03 - New Single Family Residential,2023-MSS-RES-00813,,BNSFR - New Single Family Residence,,2021 CODES/NSFR/ATT GARAGE/VB/R-3/U,JACOBSON ELECTRICAL CONTRACTING INC,,188875.24,,674500.17,5530 HORN RD,SFR-DET,188875.24,485624.93000000005,Single Dwelling Detached,New Construction,1,07 Data Dump,2024-07-01,July,07,2024,2025
03 - New Single Family Residential,2023-MSS-RES-00823,,BNSFR - New Single Family Residence,,2021 CODES/NEW TOWNHOME/VB/R-3,MOSTAD CONSTRUCTION INC,,67745.1,,242017.02,1259-B IDAHO ST,SFR-ATT,67745.1,174271.91999999998,Single Dwelling Attached,New Construction,1,07 Data Dump,2024-07-01,July,07,2024,2025
03 - New Single Family Residential,2023-MSS-RES-00824,,BNSFR - New Single Family Residence,,2021 CODES/NEW TOWNHOME/VB/R-3,MOSTAD CONSTRUCTION INC,,67745.1,,242023.09,1259-A IDAHO ST,SFR-DET,67745.1,174277.99,Single Dwelling Detached,New Construction,1,07 Data Dump,2024-07-01,July,07,2024,2025
03 - New Single Family Residential,2023-MSS-RES-00831,,BNSFR - New Single Family Residence,,2021 CODES/NEW TOWNHOME/ATT GARAGE/VB/R-3/U,MOSTAD CONSTRUCTION INC,,50465.8,,181961.44,1261-B IDAHO ST,SFR-ATT,50465.8,131495.64,Single Dwelling Attached,New Construction,1,07 Data Dump,2024-07-01,July,07,2024,2025
03 - New Single Family Residential,2023-MSS-RES-00832,,BNSFR - New Single Family Residence,,2021 CODES/NEW TOWNHOME/ATT GARAGE/VB/R-3/U,MOSTAD CONSTRUCTION INC,,50465.8,,181961.44,1261-A IDAHO ST,SFR-ATT,50465.8,131495.64,Single Dwelling Attached,New Construction,1,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00001,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/HANGAR 4/Adding 12 foot deck to the back of our hangar/VB/B,OWNER,6000.0,0.0,,,4198 CORPORATE WAY,,6000.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2024-07-01,July,07,2024,2025
01 - Remodel Commercial,2024-MSS-COM-00021,BAARC -  Add/Alter/Remodel Commercial,,,2021 CODES/APT BLDG CARPORT/REPLACE FIRE DAMAGED PARKING STRUCTURE/VB/U,ADEA PROPERTY MANAGEMENT LLP,30000.0,0.0,,,517 WESTVIEW DR,,30000.0,0.0,"Misc. (Garage, Shed, etc.)",New Construction,0,07 Data Dump,2024-07-01,July,07,2024,2025
05 - New MultiFamily,2024-MSS-COM-00045,BNMRB - New Multifamily 5+ Units,,12,2021 CODES/SNOWFARM BLDG O/NEW 12-PLEX/VB/R-2,HEADWATERS CONSTRUCTION COMPANY,,567389.06,,1854959.77,1910 GOLDENROD LN,MFR-APT,567389.06,1287570.71,Multi-Dwelling Apartment,New Construction,12,07 Data Dump,2024-07-01,July,07,2024,2025
08 - New Business,2024-MSS-COM-00056,BNCON -  New Other,,,2021 CODES/BRETZ RV DAYCARE/NEW +/- 2600 SF MODULAR BUILDING/VB/E,OWNER,,134742.4,531534.25,,4800 GRANT CREEK RD  STE 100,,134742.4,396791.85,Business,New Construction,0,07 Data Dump,2024-07-01,July,07,2024,2025
05 - New MultiFamily,2024-MSS-COM-00074,BNMRB - New Multifamily 5+ Units,,12,2021 CODES/SNOWFARM BLDG M/NEW 12-PLEX/VB/R-2,HEADWATERS CONSTRUCTION COMPANY,,567389.06,,1854959.77,1970 GOLDENROD LN,MFR-APT,567389.06,1287570.71,Multi-Dwelling Apartment,New Construction,12,07 Data Dump,2024-07-01,July,07,2024,2025
08 - New Business,2024-MSS-COM-00078,BNCON -  New Other,,,2021 CODES/SNOWFARM NORTH STORAGE BLDG/VB/U,HEADWATERS CONSTRUCTION COMPANY,,88339.2,388784.5,,2175 SAGEBRUSH DR,,88339.2,300445.3,Business,New Construction,0,07 Data Dump,2024-07-01,July,07,2024,2025
08 - New Business,2024-MSS-COM-00079,BNCON -  New Other,,,2021 CODES/SNOWFARM SOUTH STORAGE BLDG/VB/U,HEADWATERS CONSTRUCTION COMPANY,,88185.6,388108.5,,2175 SAGEBRUSH DR,,88185.6,299922.9,Business,New Construction,0,07 Data Dump,2024-07-01,July,07,2024,2025
05 - New MultiFamily,2024-MSS-COM-00081,BNMRA - New Multifamily 3-4 Units,,4,2021 CODES/SNOWFARM BLDG 5 EAST/NEW 4-PLEX/VB/R-2,HEADWATERS CONSTRUCTION COMPANY,,330912.04,,1081848.0,2080 SAGEBRUSH RD,MFR-APT,330912.04,750935.96,Multi-Dwelling Apartment,New Construction,4,07 Data Dump,2024-07-01,July,07,2024,2025
05 - New MultiFamily,2024-MSS-COM-00082,BNMRB - New Multifamily 5+ Units,,6,2021 CODES/SNOWFARM BLDG 5 WEST/NEW 6-PLEX/VB/R-2,HEADWATERS CONSTRUCTION COMPANY,,496184.78,,1622172.0,2090 SAGEBRUSH RD,MFR-APT,496184.78,1125987.22,Multi-Dwelling Apartment,New Construction,6,07 Data Dump,2024-07-01,July,07,2024,2025
05 - New MultiFamily,2024-MSS-COM-00083,BNMRA - New Multifamily 3-4 Units,,4,2021 CODES/SNOWFARM BLDG 6 EAST/NEW 4-PLEX/VB/R-2,HEADWATERS CONSTRUCTION COMPANY,,330912.04,2163696.0,1081848.0,4225 O'LEARY ST,MFR-APT,330912.04,2914631.96,Multi-Dwelling Apartment,New Construction,4,07 Data Dump,2024-07-01,July,07,2024,2025
