Category,Record Number,Commercial Subtype,Residential Subtype,ADU/TED on Permit?,Work Description,Business Name,Project Cost,Job Cost Valuation,Current Valuation - Commercial,Current Valuation - Residential,Address,ADU or TED on Address?,Total Construction Valuation,Current Market Valuation,Property Type,Project Type,Units,Data Dump,Date,Month,Month Number,Calendar Year,Fiscal Year
03 - New Single Family Residential,2020-MSS-RES-00721,,BNSFR - New Single Family Residence,,NSFR/ATT GARAGE/ VB/ R3,CONSTRUCTIVE INNOVATION LLC,,67043.3,,158722.04,3223 S GRANT ST,SFR-DET,67043.3,91678.74,Single Dwelling Detached,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
03 - New Single Family Residential,2020-MSS-RES-01005,,BNSFR - New Single Family Residence,TED,NSFR/ATT GARAGE/ VB/ R3,SS PROPERTY SOLUTIONS INC,,105091.6,,248608.11,385 TRAIL BLAZER LOOP,TED SF,105091.6,143516.50999999998,TED Single Dwelling,New Construction,1,07 Data Dump,2022-07-01,July,07,2022,2023
05 - New MultiFamily,2021-MSS-COM-00289,BNMRB - New Multifamily 5+ Units,,18,NEW 18-PLEX/BLDG 24/VB/R-2,TOLLEFSON CONSTRUCTION,,793144.2,,1951875.6,5215 REMINGTON DR,MFR-APT,793144.2,1158731.4000000001,Multi-Dwelling Apartment,New Construction,18,07 Data Dump,2022-07-01,July,07,2022,2023
05 - New MultiFamily,2021-MSS-COM-00290,BNMRB - New Multifamily 5+ Units,,18,NEW 18-PLEX/BLDG 25/VB/R-2,TOLLEFSON CONSTRUCTION,,793144.2,,1951875.6,2630 BRIAR WAY,MFR-APT,793144.2,1158731.4000000001,Multi-Dwelling Apartment,New Construction,18,07 Data Dump,2022-07-01,July,07,2022,2023
05 - New MultiFamily,2021-MSS-COM-00291,BNMRB - New Multifamily 5+ Units,,24,NEW 24-PLEX/BLDG 26/VB/R-2,TOLLEFSON CONSTRUCTION,,1128684.06,,2777617.08,5175 ABBY LN,MFR-APT,1128684.06,1648933.02,Multi-Dwelling Apartment,New Construction,24,07 Data Dump,2022-07-01,July,07,2022,2023
05 - New MultiFamily,2021-MSS-COM-00292,BNMRB - New Multifamily 5+ Units,,24,NEW 24-PLEX/BLDG 27/VB/R-2,TOLLEFSON CONSTRUCTION,,1128684.06,,2777617.08,5135 ABBY LN,MFR-APT,1128684.06,1648933.02,Multi-Dwelling Apartment,New Construction,24,07 Data Dump,2022-07-01,July,07,2022,2023
01 - Remodel Commercial,2021-MSS-COM-00406,BAARC -  Add/Alter/Remodel Commercial,,,"MSO AIRPORT/SP INSP REQD / Complete existing building demolition and subsequent construction of new addition to phase 1 construction; work to include additional mechanical space, baggage claim area, rental car facilities, expanded holdroom seating, and additional aircraft loading gates/IIA/A-3/A-2/S-1",MARTEL CONSTRUCTION INC,36184548.0,0.0,,,5225 10 HWY W,,36184548.0,0.0,Commercial,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2021-MSS-RES-00521,,BAARR -  Add/Alter/Remodel Residential,,"SFR/Convert an existing, free standing two car garage of approx 450 Sq feet into a 1 BR ADU/VB/R-3",TLC CONSTRUCTION,,24689.95,,58122.83,1923 DIXON AVE,ADU,24689.95,33432.880000000005,ADU,New Construction,0,07 Data Dump,2022-07-01,July,07,2022,2023
06 - New Miscellaneous,2021-MSS-RES-00674,,BNRDG - New Detached Garage/Carport,,NEW DET GARAGE/Demolish existing detached garage and build new 39'x24' detached garage across back of lot./ VB/ U,OWNER,,14322.0,,35683.2,320 DEARBORN AVE,,14322.0,21361.199999999997,"Misc. (Garage, Shed, etc.)",New Construction,0,07 Data Dump,2022-07-01,July,07,2022,2023
02 - Remodel Residential,2021-MSS-RES-00676,,BAARR -  Add/Alter/Remodel Residential,,"SFR/ remodel and addition of a single family residence: the project includes a 50 s.f. addition on the first floor, and removing the existing roof and adding a second story and new roof. The project includes a renovated kitchen, new mud room, an additional bathroom on the first floor and 3 new bedrooms and 2 new baths on the second floor./ VB/ R3",OWNER,,36636.7,,86246.78,115 E FRANKLIN ST,,36636.7,49610.08,Residential,Addition/Remodel,0,07 Data Dump,2022-07-01,July,07,2022,2023
